Model,Size,Task,Image,Prompt,CLIP_Score
PA,512,counting,012.PA_512_counting_12.png,Office room with fifteen chairs,"0,2408"
PA,512,conflicting,001.PA_512_conflicting_1.png,A zebra without strips,"0,2644"
PA,512,conflicting,002.PA_512_conflicting_2.png,A penguin in a city,"0,2705"
PA,512,conflicting,003.PA_512_conflicting_3.png,Rainbow colored Ferrari,"0,3166"
PA,512,conflicting,004.PA_512_conflicting_4.png,A giraffe kissing a monkey,"0,2681"
PA,512,conflicting,005.PA_512_conflicting_5.png,A panda inside a cup of tea,"0,3023"
PA,512,conflicting,006.PA_512_conflicting_6.png,A giraffe inside a car,"0,2669"
PA,512,conflicting,007.PA_512_conflicting_7.png,An ant under the sea,"0,2807"
PA,512,conflicting,008.PA_512_conflicting_8.png,A motorcycle inside an oven,"0,2870"
PA,512,conflicting,009.PA_512_conflicting_9.png,A polar bear on the desert,"0,2407"
PA,512,conflicting,010.PA_512_conflicting_10.png,A man walking on the ceiling,"0,2448"
PA,512,conflicting,011.PA_512_conflicting_11.png,A fish eating a pelican,"0,2975"
PA,512,conflicting,012.PA_512_conflicting_12.png,A horse riding  an astronaut in the forest,"0,3122"
PA,512,text,001.PA_512_text_1.png,A sign that says 'Hello',"0,2509"
PA,512,text,002.PA_512_text_2.png,A sign that says 'World',"0,2360"
PA,512,text,003.PA_512_text_3.png,A sign that says 'Hello World',"0,2115"
PA,512,text,004.PA_512_text_4.png,A sign that says 'World Hello',"0,1667"
PA,512,text,005.PA_512_text_5.png,A sign that says 'Speed limit 45',"0,2013"
PA,512,text,006.PA_512_text_6.png,A sign that says 'Do not pass !',"0,2216"
PA,512,text,007.PA_512_text_7.png,A sign that says 'No pedestrians !',"0,1998"
PA,512,text,008.PA_512_text_8.png,A sign that says 'No overtaking !',"0,2499"
PA,512,text,009.PA_512_text_9.png,A sign that says 'No Goods materials',"0,2232"
PA,512,text,010.PA_512_text_10.png,A sign that says 'No hazardous materials',"0,2181"
PA,512,text,011.PA_512_text_11.png,A sign that says 'You must not turn Right!',"0,2264"
PA,512,text,012.PA_512_text_12.png,A sign that says 'Maximum speed limit 80 km',"0,2595"
PA,512,positional,001.PA_512_positional_1.png,A train on top of a surfboard,"0,2764"
PA,512,positional,002.PA_512_positional_2.png,A wine glass on top of a dog,"0,3187"
PA,512,positional,003.PA_512_positional_3.png,A bicycle on top of a boat,"0,2689"
PA,512,positional,004.PA_512_positional_4.png,An umbrella under a spoon,"0,3147"
PA,512,positional,005.PA_512_positional_5.png,A car on the left of a bus,"0,2299"
PA,512,positional,006.PA_512_positional_6.png,A black apple on the right of  a green backpack,"0,3226"
PA,512,positional,007.PA_512_positional_7.png,A carrot on the left of a broccoli,"0,2469"
PA,512,positional,008.PA_512_positional_8.png,A pizza on the right of a suitcase,"0,3232"
PA,512,positional,009.PA_512_positional_9.png,A cat on the right of a tennis racket,"0,2766"
PA,512,positional,010.PA_512_positional_10.png,A stop sign on the right of a refrigerator,"0,2293"
PA,512,positional,011.PA_512_positional_11.png,A sheep to the right of a wine glass,"0,3058"
PA,512,positional,012.PA_512_positional_12.png,A zebra to the right of a fire hydrant,"0,3059"
PA,512,faces,001.PA_512_faces_1.png,Face of a man with a goatee,"0,2389"
PA,512,faces,002.PA_512_faces_2.png,Face of an angry teacher,"0,2540"
PA,512,faces,003.PA_512_faces_3.png,Face of a kid with a tiger make-up,"0,3223"
PA,512,faces,004.PA_512_faces_4.png,Face of an old lady with blue hair and a wide smile,"0,3110"
PA,512,faces,005.PA_512_faces_5.png,A bald man doing a handstand,"0,2700"
PA,512,faces,006.PA_512_faces_6.png,Face of a woman with brown hair looking over her shoulder,"0,1922"
PA,512,faces,007.PA_512_faces_7.png,Sad face of a blonde girl holding a popped balloon,"0,2992"
PA,512,faces,008.PA_512_faces_8.png,Face of a weightlifting white hair Olympic gold medalist lifting 120kg with a referee next to it encouraging him,"0,2609"
PA,512,faces,009.PA_512_faces_9.png,The face of a soldier with camouflaged face painting obscured by leaves,"0,3194"
PA,512,faces,010.PA_512_faces_10.png,A face of a man with a beard with water splashing onto his face,"0,3080"
PA,512,faces,011.PA_512_faces_11.png,A dark messy hair boy rolling his tongue with blue light shinning on his face,"0,2359"
PA,512,faces,012.PA_512_faces_12.png,A young kid with dark eye bags standing in front of her grandma with wrinkles looking at the sky,"0,3028"
PA,1024,coloring,001.PA_1024_coloring_1.png,A red colored car,"0,3002"
PA,1024,coloring,002.PA_1024_coloring_2.png,A black colored car,"0,1940"
PA,1024,coloring,003.PA_1024_coloring_3.png,A pink colored car,"0,2777"
PA,1024,coloring,004.PA_1024_coloring_4.png,A navy blue colored car,"0,2360"
PA,1024,coloring,005.PA_1024_coloring_5.png,A red car and a white sheep,"0,3011"
PA,1024,coloring,006.PA_1024_coloring_6.png,A blue bird and a brown bear,"0,3360"
PA,1024,coloring,007.PA_1024_coloring_7.png,A green apple and a black backpack,"0,3157"
PA,1024,coloring,008.PA_1024_coloring_8.png,A green cup and a blue cell phone,"0,2772"
PA,1024,coloring,009.PA_1024_coloring_9.png,A red pencil in a green cup on a blue table,"0,2702"
PA,1024,coloring,010.PA_1024_coloring_10.png,An office with five desks and seven colorful chairs,"0,3220"
PA,1024,coloring,011.PA_1024_coloring_11.png,An orange bird scaring a blue scarecrow with a red pirate hat,"0,2964"
PA,1024,coloring,012.PA_1024_coloring_12.png,A photo of two pink football balls and three green basketball balls on a bench,"0,3467"
PA,1024,counting,001.PA_1024_counting_1.png,One tennis ball on the court,"0,2919"
PA,1024,counting,002.PA_1024_counting_2.png,Three people crossing  the street,"0,2447"
PA,1024,counting,003.PA_1024_counting_3.png,Two monkeys eating banana,"0,2853"
PA,1024,counting,004.PA_1024_counting_4.png,Bench in a park with two backpacks on it,"0,2595"
PA,1024,counting,005.PA_1024_counting_5.png,Nine children doing a circle dance around a Christmas tree,"0,2722"
PA,1024,counting,006.PA_1024_counting_6.png,An office desk with six laptops on it,"0,2432"
PA,1024,counting,007.PA_1024_counting_7.png,Person holding  four toy pyramids,"0,2483"
PA,1024,counting,008.PA_1024_counting_8.png,Five photograph prints are hanging to dry in a dark room,"0,2388"
PA,1024,counting,009.PA_1024_counting_9.png,Person carrying a stack of twelve books,"0,2515"
PA,1024,counting,010.PA_1024_counting_10.png,Two people juggling ten balls together,"0,2729"
PA,1024,counting,011.PA_1024_counting_11.png,Birthday cake with exactly twenty candles on it,"0,2704"
PA,1024,counting,012.PA_1024_counting_12.png,Office room with fifteen chairs,"0,2154"
PA,1024,conflicting,001.PA_1024_conflicting_1.png,A zebra without strips,"0,2676"
PA,1024,conflicting,002.PA_1024_conflicting_2.png,A penguin in a city,"0,2981"
PA,1024,conflicting,003.PA_1024_conflicting_3.png,Rainbow colored Ferrari,"0,3100"
PA,1024,conflicting,004.PA_1024_conflicting_4.png,A giraffe kissing a monkey,"0,2790"
PA,1024,conflicting,005.PA_1024_conflicting_5.png,A panda inside a cup of tea,"0,2737"
PA,1024,conflicting,006.PA_1024_conflicting_6.png,A giraffe inside a car,"0,2649"
PA,1024,conflicting,007.PA_1024_conflicting_7.png,An ant under the sea,"0,2807"
PA,1024,conflicting,008.PA_1024_conflicting_8.png,A motorcycle inside an oven,"0,2844"
PA,1024,conflicting,009.PA_1024_conflicting_9.png,A polar bear on the desert,"0,2367"
PA,1024,conflicting,010.PA_1024_conflicting_10.png,A man walking on the ceiling,"0,2176"
PA,1024,conflicting,011.PA_1024_conflicting_11.png,A fish eating a pelican,"0,2540"
PA,1024,conflicting,012.PA_1024_conflicting_12.png,A horse riding  an astronaut in the forest,"0,3209"
PA,1024,text,001.PA_1024_text_1.png,A sign that says 'Hello',"0,2214"
PA,1024,text,002.PA_1024_text_2.png,A sign that says 'World',"0,2199"
PA,1024,text,003.PA_1024_text_3.png,A sign that says 'Hello World',"0,2126"
PA,1024,text,004.PA_1024_text_4.png,A sign that says 'World Hello',"0,2550"
PA,1024,text,005.PA_1024_text_5.png,A sign that says 'Speed limit 45',"0,1642"
PA,1024,text,006.PA_1024_text_6.png,A sign that says 'Do not pass !',"0,2232"
PA,1024,text,007.PA_1024_text_7.png,A sign that says 'No pedestrians !',"0,1811"
PA,1024,text,008.PA_1024_text_8.png,A sign that says 'No overtaking !',"0,2263"
PA,1024,text,009.PA_1024_text_9.png,A sign that says 'No Goods materials',"0,2477"
PA,1024,text,010.PA_1024_text_10.png,A sign that says 'No hazardous materials',"0,2206"
PA,1024,text,011.PA_1024_text_11.png,A sign that says 'You must not turn Right!',"0,2106"
PA,1024,text,012.PA_1024_text_12.png,A sign that says 'Maximum speed limit 80 km',"0,2251"
PA,1024,positional,001.PA_1024_positional_1.png,A train on top of a surfboard,"0,2881"
PA,1024,positional,002.PA_1024_positional_2.png,A wine glass on top of a dog,"0,2920"
PA,1024,positional,003.PA_1024_positional_3.png,A bicycle on top of a boat,"0,2853"
PA,1024,positional,004.PA_1024_positional_4.png,An umbrella under a spoon,"0,2486"
PA,1024,positional,005.PA_1024_positional_5.png,A car on the left of a bus,"0,2055"
PA,1024,positional,006.PA_1024_positional_6.png,A black apple on the right of  a green backpack,"0,2693"
PA,1024,positional,007.PA_1024_positional_7.png,A carrot on the left of a broccoli,"0,2459"
PA,1024,positional,008.PA_1024_positional_8.png,A pizza on the right of a suitcase,"0,3279"
PA,1024,positional,009.PA_1024_positional_9.png,A cat on the right of a tennis racket,"0,2919"
PA,1024,positional,010.PA_1024_positional_10.png,A stop sign on the right of a refrigerator,"0,2235"
PA,1024,positional,011.PA_1024_positional_11.png,A sheep to the right of a wine glass,"0,2979"
PA,1024,positional,012.PA_1024_positional_12.png,A zebra to the right of a fire hydrant,"0,2801"
PA,1024,faces,001.PA_1024_faces_1.png,Face of a man with a goatee,"0,2399"
PA,1024,faces,002.PA_1024_faces_2.png,Face of an angry teacher,"0,2870"
PA,1024,faces,003.PA_1024_faces_3.png,Face of a kid with a tiger make-up,"0,3153"
PA,1024,faces,004.PA_1024_faces_4.png,Face of an old lady with blue hair and a wide smile,"0,3169"
PA,1024,faces,005.PA_1024_faces_5.png,A bald man doing a handstand,"0,2810"
PA,1024,faces,006.PA_1024_faces_6.png,Face of a woman with brown hair looking over her shoulder,"0,1579"
PA,1024,faces,007.PA_1024_faces_7.png,Sad face of a blonde girl holding a popped balloon,"0,3202"
PA,1024,faces,008.PA_1024_faces_8.png,Face of a weightlifting white hair Olympic gold medalist lifting 120kg with a referee next to it encouraging him,"0,2637"
PA,1024,faces,009.PA_1024_faces_9.png,The face of a soldier with camouflaged face painting obscured by leaves,"0,3209"
PA,1024,faces,010.PA_1024_faces_10.png,A face of a man with a beard with water splashing onto his face,"0,3119"
PA,1024,faces,011.PA_1024_faces_11.png,A dark messy hair boy rolling his tongue with blue light shinning on his face,"0,2887"
PA,1024,faces,012.PA_1024_faces_12.png,A young kid with dark eye bags standing in front of her grandma with wrinkles looking at the sky,"0,3172"
